tipo,cruce,origen,destino,pago_operador,prioridad
PTT-00,,FLETES SOTELO,APTIV / RIO BRAVO 7 FV32,0.0,1
MDC-01,,IMPULSORA GANE,BASE SOTELO CHIHUAHUA,125.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,YAZAKI COMPONENTES PLANTA 3,0.0,1
PTT-00,,RIO BRAVO INTERNACIONAL,HOTEL RED ROOF INN CHITO SAMANIEGO DR,0.0,1
MDC-01,,GYSA JUAREZ 3,GYSA JDC,250.0,1
PTT-00,,GYSA JUAREZ 3,FLETES SOTELO,0.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,IMPULSORA GANE,0.0,1
PTT-00,,NA KELLY,FLETES SOTELO,0.0,1
TRI-02,PUENTE ZARAGOZA,RIO BRAVO INTERNACIONAL,PRECOS ZARAGOZA,500.0,10
LOC-01,,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),BASE SOTELO CHIHUAHUA,125.0,1
MDC-01,,GYSA  CDJ,GYSA JUAREZ 3,250.0,1
PTT-00,PUENTE AMERICAS,KORIMA / KUNA LOOP,FLETES SOTELO,0.0,10
MDC-01,,YAZAKI COMPONENTES PLANTA 3,BASE SOTELO CHIHUAHUA,125.0,1
LOC-01,,APTIV RIO BRAVO 1 FV39,FLETES SOTELO,125.0,1
MDC-01,,GYSA JUAREZ JDC,GYSA JUAREZ 3,250.0,1
PTT-00,,GYSA  CDJ,FLETES SOTELO,0.0,1
PTT-00,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,BASE SOTELO CHIHUAHUA,0.0,1
EXP-02,PUENTE ZARAGOZA,GYSA JUAREZ 4,KORIMA / KUNA LOOP,500.0,10
PTT-00,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),0.0,1
PTT-00,PUENTE ZARAGOZA,NA KELLY,FLETES SOTELO,0.0,10
LOC-04,,UPS FACILITY 10 LEIGHT FISHER,KORIMA / KUNA LOOP,250.0,1
IMP-02,PUENTE ZARAGOZA,13699 GATEWAY WEST,FLETES SOTELO,500.0,10
TRE-02,PUENTE ZARAGOZA,FLETES SOTELO,NA KELLY,500.0,10
MDC-01,,BASE SOTELO CHIHUAHUA,YAZAKI COMPONENTES PLANTA 3,125.0,1
PTT-00,,APTIV / RIO BRAVO 7 FV32,FLETES SOTELO,0.0,1
LOC-01,,GYSA JUAREZ 2,FLETES SOTELO,125.0,1
PTT-00,,GYSA JDC,GYSA JUAREZ 4,0.0,1
MDC-01,,ACSA,ELECTROLUX / REFRIGERADORES,250.0,1
TRE-02,,APTIV / RIO BRAVO 7 FV32,NA KELLY,500.0,1
MDC-01,,GYSA JDC,GYSA JUAREZ 1,250.0,1
MDC-01,,GYSA JUAREZ 1,GYSA JUAREZ JDC,250.0,1
TRE-QMS,PUENTE ZARAGOZA,FLETES SOTELO,UPS FACILITY 10 LEIGHT FISHER,1000.0,10
PTT-00,,GYSA JUAREZ 3,GYSA JUAREZ 2,0.0,1
EXP-02,PUENTE ZARAGOZA,APTIV RIO BRAVO 1 FV39,NA KELLY,500.0,10
PTT-00,,GYSA JUAREZ 4,GYSA  CDJ,0.0,1
IMP-02,PUENTE ZARAGOZA,NA KELLY,APTIV RIO BRAVO 1 FV39,500.0,10
PTT-00,,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,FLETES SOTELO,0.0,1
PTT-00,,BASE SOTELO CHIHUAHUA,SMTC PLANTA 1,0.0,1
MDC-01,,GYSA JUAREZ 3,GYSA  CDJ,250.0,1
LOC-02,,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,250.0,1
LOC-02,,DSV,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,125.0,1
FAL-00,,FLETES SOTELO,UPS FACILITY 10 LEIGHT FISHER,250.0,1
LOC-02,,HONEYWELL ADENCO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,125.0,1
