Coordenada,Origen,Destino,Tipo,Cruce, pago 
2903634-1,EATON BUSSMANN,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2903441-6,FLETES SOTELO,GYSA JDC,PTT-00,, $-   
2903631-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,EATON BUSSMANN,LOC-01,, $250.00 
2903420-7,LEGRAND DPC,FLETES SOTELO,I-VACIO,PUENTE AMERICAS, $500.00 
2903531-1,EMERALD PASS DR.,NA KELLY,PTT-00,, $-   
2903319-5,FLETES SOTELO,NA KELLY,EXP-02,PUENTE ZARAGOZA, $500.00 
2903076-5,SAFRAN PLANTA 5 / ELM / ELECTRIC MEXICO (SEPS),BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2903238-4,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),MDC-01,, $125.00 
2903519-3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2903319-3,APTIV RIO BRAVO 1 FV39,PRECOS ZARAGOZA,LOC-02,PUENTE ZARAGOZA, $250.00 
2903450-2,GYSA  CDJ,KORIMA / KUNA LOOP,EXP-02,PUENTE ZARAGOZA, $500.00 
2903229-4,SAIA 431 NORTH CLARK DRIVE,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2903519-1,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,LOC-01,, $125.00 
2903520-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,SMTC PLANTA 1,LOC-01,, $125.00 
2903155-5,APTIV RIO BRAVO 4 FV33,FLETES SOTELO,MDC-01,, $125.00 
2903229-3,FLETES SOTELO,SAIA 431 NORTH CLARK DRIVE,TRE-02,PUENTE ZARAGOZA, $500.00 
2903010-4,FLETES SOTELO,EASTLAKE LOGISTICS PARK,TRE-QMS,PUENTE ZARAGOZA," $1,000.00 "
2903403-5,RIO BRAVO INTERNACIONAL,SHELTER AIN SERVICIOS,IMP-02,PUENTE ZARAGOZA, $500.00 
2903454-1,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),PTT-00,, $-   
2902662-6,FLETES SOTELO,EASTLAKE LOGISTICS PARK,TRE-02,PUENTE ZARAGOZA, $500.00 
2903464-1,DARTAEROSPACE,IMPULSORA GANE,PTT-00,, $-   
2903463-1,BASE SOTELO CHIHUAHUA,DARTAEROSPACE,LOC-01,, $125.00 
2903411-1,FLETES SOTELO,KORIMA / KUNA LOOP,PTT-00,, $-   
2903340-3,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / LAVADORAS,QMS-02,PUENTE ZARAGOZA," $1,000.00 "
2903418-1,UNI-TRADE FORWARDING LC,IBCA LOGYSTICS,PTT-00,, $-   
2903462-1,IMPULSORA GANE,FOKKER,PTT-08,, $-   
2903155-4,FLETES SOTELO,APTIV RIO BRAVO 4 FV33,MDC-01,, $125.00 
2903312-3,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",18 LEIGH FISHER,EXP-02,PUENTE ZARAGOZA, $625.00 
2903319-2,APTIV RIO BRAVO 1 FV39,GYSA  CDJ,PTT-00,, $-   
2903346-1,APTIV / RIO BRAVO 7 FV32,GYSA  CDJ,PTT-00,, $-   
2903414-1,STANCO METAL PRODUCTS,YARDA ARIES,PTT-00,, $-   
2903403-1,KORIMA / KUNA LOOP,"TMX LOGISTICS, INC.",LOC-04,, $250.00 
2903340-2,TEXTAPE / 915 PENDALE,ARIES WORLDWIDE LOGISTICS C/O,LOC-03,, $250.00 
2903516-2,FLETES SOTELO,LEAR LA CUESTA,LOC-02,, $125.00 
2903515-3,FLETES SOTELO,LEAR LA CUESTA,LOC-01,, $125.00 
2902003-5,EASTLAKE LOGISTICS PARK,13699 GATEWAY WEST,LOC-04,, $125.00 
2902704-5,GYSA  CDJ,APTIV / RIO BRAVO 7 FV32,MDC-01,, $250.00 
2903384-1,ARIES WORLDWIDE LOGISTICS C/O,MELTON,PTT-00,, $-   
