Coordenada,Origen,Destino,Tipo,Cruce, pago 
2904211-2,18 LEIGH FISHER,13699 GATEWAY WEST,LOC-04,, $375.00 
2904077-2,RIO BRAVO INTERNACIONAL,KORIMA / KUNA LOOP,LOC-03,, $250.00 
2904344-2,18 LEIGH FISHER,PUENTE  ZARAGOZA,LOC-03,, $250.00 
2904246-2,GYSA JUAREZ 5,GYSA JUAREZ 1,LOC-02,, $250.00 
2904344-1,P Y H TRAILER ENTERPRISES INC,18 LEIGH FISHER,PTT-00,, $-   
2904318-2,18 LEIGH FISHER,GYSA JUAREZ JDC,QMS-01,PUENTE ZARAGOZA," $1,000.00 "
2904229-2,GYSA  CDJ,PUENTE  ZARAGOZA,LOC-02,, $250.00 
2904360-1,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,LOC-02,, $125.00 
2904169-2,P Y H TRAILER ENTERPRISES INC,NA KELLY,PTT-00,, $-   
2904321-1,P Y H TRAILER ENTERPRISES INC,CFI,PTT-00,, $-   
2904372-1,18 LEIGH FISHER,13699 GATEWAY WEST,LOC-03,, $375.00 
2904364-1,BASE SOTELO CHIHUAHUA,XYLEM,PTT-00,, $-   
2904353-2,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),LOC-02,, $125.00 
2904180-1,P Y H TRAILER ENTERPRISES INC,13699 GATEWAY WEST,PTT-00,, $-   
2904252-3,NA KELLY,FLETES SOTELO,TRI-02,PUENTE ZARAGOZA, $500.00 
2904270-1,MESILLA VALLEY TRANSPORTATION,18 LEIGH FISHER,PTT-00,, $-   
2904037-4,GYSA JUAREZ 5,GYSA JUAREZ 3,LOC-02,, $250.00 
2904353-1,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,PTT-00,, $-   
2904020-3,GYSA JUAREZ 2,GYSA JUAREZ 5,PTT-00,, $-   
2904037-3,YARDA DEL SIETE,GYSA JUAREZ 5,PTT-00,, $-   
2904320-1,GYSA JUAREZ 2,GYSA JUAREZ 3,PTT-00,, $-   
2904319-1,BASE SOTELO CHIHUAHUA,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,LOC-01,, $125.00 
2903602-7,KORIMA / KUNA LOOP,IBCA LOGYSTICS,LOC-03,, $250.00 
2904386-2,950 LOMA VERDE,18 LEIGH FISHER,LOC-03,, $250.00 
2904350-2,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),PTT-00,, $-   
2904350-1,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,LOC-01,, $125.00 
2904345-1,PACTIV DE MEXICO S. DE R.L DE C.V.,FOKKER,PTT-08,, $-   
2903032-5,NORDAM,DTR,PTT-00,, $-   
2904289-3,MERYWEATHER FOAM,ACSA,S-TER-02,PUENTE ZARAGOZA," $1,000.00 "
2904386-1,KORIMA / KUNA LOOP,950 LOMA VERDE,LOC-04,, $125.00 
2904182-5,KORIMA / KUNA LOOP,NA KELLY,LOC-03,, $250.00 
2904172-2,GYSA JUAREZ 3,PUENTE  ZARAGOZA,LOC-02,, $250.00 
2904311-1,FLETES SOTELO,YARDA DEL SIETE,LOC-01,, $250.00 
2903842-5,WIREMASTERS,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2904289-2,ARIES WORLDWIDE LOGISTICS C/O,MERYWEATHER FOAM,STER-ELP,, $625.00 
2904348-1,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),LOC-01,, $125.00 
2904182-4,HOTEL RED ROOF INN CHITO SAMANIEGO DR,KORIMA / KUNA LOOP,PTT-00,PUENTE AMERICAS, $-   
2904133-2,FLETES SOTELO,GYSA JUAREZ 5,PTT-00,, $-   
2903839-8,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2904291-1,MESILLA VALLEY TRANSPORTATION,STANCO METAL PRODUCTS,PTT-00,, $-   
2903841-7,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,LOC-02,, $125.00 
2903839-6,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),LOC-02,, $125.00 
2904252-2,HOTEL RED ROOF INN CHITO SAMANIEGO DR,NA KELLY,PTT-00,, $-   
2904170-5,BODEGA NUEVA XOMOX,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2904175-5,FLETES SOTELO,RIO BRAVO INTERNACIONAL,TRE-02,PUENTE ZARAGOZA, $500.00 
2904197-8,GYSA JDC,FLETES SOTELO,PTT-00,, $-   
2904182-3,KORIMA / KUNA LOOP,HOTEL RED ROOF INN CHITO SAMANIEGO DR,PTT-00,, $-   
2904175-4,PRECOS ZARAGOZA,FLETES SOTELO,LOC-02,PUENTE ZARAGOZA, $250.00 
2904173-2,BASE SOTELO CHIHUAHUA,YAZAKI COMPONENTES PLANTA 2,PTT-00,, $-   
2904043-4,EXPEDITORS  #1,NA KELLY,LOC-04,, $250.00 
2904245-3,GYSA JUAREZ 3,GYSA JUAREZ 5,LOC-01,, $250.00 
2904182-2,APTIV RIO BRAVO 1 FV39,KORIMA / KUNA LOOP,EXP-02,PUENTE ZARAGOZA, $500.00 
2904245-2,GYSA JUAREZ 5,GYSA JUAREZ 3,PTT-00,, $-   
2904252-1,NA KELLY,HOTEL RED ROOF INN CHITO SAMANIEGO DR,PTT-00,, $-   
2904256-1,NA KELLY,APTIV / RIO BRAVO 7 FV32,IMP-02,, $500.00 
2904246-1,GYSA JDC,GYSA JUAREZ 5,LOC-01,, $125.00 
2904250-1,GYSA  CDJ,GYSA JUAREZ 5,LOC-01,, $125.00 
2903893-4,EASTLAKE LOGISTICS PARK,NA KELLY,LOC-04,, $250.00 
2904177-3,NA KELLY,13699 GATEWAY WEST,PTT-00,, $-   
2904262-1,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),IMPULSORA GANE,PTT-00,, $-   
2904240-2,NORDAM,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2904240-1,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),NORDAM,PTT-00,, $-   
2904253-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),LOC-02,, $125.00 
2904251-1,BASE SOTELO CHIHUAHUA,SMTC PLANTA 2,PTT-00,, $-   
2904188-3,YAZAKI COMPONENTES PLANTA 3,NORDAM,PTT-00,, $-   
2904084-2,STANCO METAL PRODUCTS,ELECTROLUX / REFRIGERADORES,PTT-02,PUENTE STA TERESA, $-   
2903975-5,GAMMA,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2903972-7,ABF FREIGHT,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2904227-2,SMTC PLANTA 1,GAMMA,LOC-02,, $125.00 
2904399-2,FLETES SOTELO,EAGLE OTAWA / ANTONIO J. BERMUDEZ,MDC-01,, $125.00 
2904227-1,XYLEM,SMTC PLANTA 1,PTT-00,, $-   
2904103-3,CAT SCALE,ELECTROLUX / REFRIGERADORES,QMS-02,PUENTE ZARAGOZA," $1,000.00 "
2904185-5,EASTLAKE LOGISTICS PARK,KORIMA / KUNA LOOP,PTT-00,, $-   
2904185-4,FLETES SOTELO,EASTLAKE LOGISTICS PARK,PTT-00,PUENTE ZARAGOZA, $-   
2904202-1,BASE SOTELO CHIHUAHUA,DSV,PTT-00,, $-   
2903972-6,FLETES SOTELO,ABF FREIGHT,TRE-02,PUENTE ZARAGOZA, $500.00 
2904103-2,BODEGA 360 AMERICAS,CAT SCALE,LOC-03,, $250.00 
2904367-2,FLETES SOTELO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,MDC-01,, $250.00 
2904154-2,GYSA JUAREZ 1,GYSA  CDJ,PTT-00,, $-   
2904175-6,RIO BRAVO INTERNACIONAL,KORIMA / KUNA LOOP,LOC-01,, $250.00 
2904172-7,13699 GATEWAY WEST,KORIMA / KUNA LOOP,LOC-02,, $250.00 
2904169-1,KORIMA / KUNA LOOP,NA KELLY,LOC-04,, $250.00 
2903615-8,SMTC PULLMAN,KORIMA / KUNA LOOP,LOC-04,, $125.00 
2904188-1,BASE SOTELO CHIHUAHUA,NORDAM,LOC-01,, $125.00 
2904367-1,LEAR LA CUESTA,FLETES SOTELO,LOC-02,, $125.00 
2904103-1,UPRR SANTA TERESA,BODEGA 360 AMERICAS,PTT-00,, $-   
2904132-1,IBCA LOGYSTICS,KORIMA / KUNA LOOP,PTT-00,, $-   
2904074-1,YARDA ARIES,ELECTROLUX / LAVADORAS,S-TER-02,PUENTE ZARAGOZA," $1,000.00 "
2903895-2,XOMOX CHIHUAHUA S.A DE C.V.,SMTC PLANTA 1,PTT-00,, $-   
2903742-17,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,MDC-01,, $125.00 
2904211-1,"EAST WEST EL PASO, LLC",18 LEIGH FISHER,LOC-03,, $125.00 
2904139-1,DSV,XOMOX CHIHUAHUA S.A DE C.V.,PTT-00,, $-   
2904081-2,GYSA JUAREZ 4,FLETES SOTELO,PTT-00,, $-   
2903893-3,FOREFRONT,EASTLAKE LOGISTICS PARK,EXP-02,PUENTE ZARAGOZA, $500.00 
2904091-1,ELECTROLUX / REFRIGERADORES,UPRR SANTA TERESA,E-VACIO,PUENTE STA TERESA," $1,500.00 "
2904210-1,SUMITOMO ELECTRIC WIRING,"EAST WEST EL PASO, LLC",LOC-03,, $250.00 
2904138-2,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),DSV,LOC-02,, $125.00 
2903893-2,FLETES SOTELO,FOREFRONT,PTT-00,, $-   
2904195-3,GYSA JUAREZ 1,GYSA JUAREZ 3,MDC-01,, $125.00 
2903742-16,BASE SOTELO CHIHUAHUA,ACCUDYN DE MÉXICO S. DE R.L. DE C.V.,MDC-01,, $125.00 
2904209-1,XIAMEN HONFA TRANSPORTATION,SUMITOMO ELECTRIC WIRING,LOC-03,, $125.00 
2903772-13,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,MDC-01,, $125.00 
2904208-1,950 LOMA VERDE,XIAMEN HONFA TRANSPORTATION,LOC-03,, $250.00 
2904362-1,BASCULA LA POSTA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2903495-4,PHINIA / BERMUDEZ,FLETES SOTELO,PTT-00,, $-   
2904065-1,ELECTROLUX / LAVADORAS,YARDA ARIES,L-VAC-05,PUENTE STA TERESA, $750.00 
2904206-2,DELFINGEN US-TEXAS,950 LOMA VERDE,LOC-03,, $125.00 
2904361-1,LEAR SAN LORENZO,BASCULA LA POSTA,LOC-02,, $125.00 
2904206-1,KORIMA / KUNA LOOP,DELFINGEN US-TEXAS,LOC-04,, $125.00 
2904050-1,P Y H TRAILER ENTERPRISES INC,MESILLA VALLEY TRANSPORTATION,PTT-00,, $-   
2903905-4,GYSA JUAREZ 2,GYSA JUAREZ 3,LOC-02,, $125.00 
2903372-6,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),LOC-02,, $125.00 
2904038-2,IBCA LOGYSTICS,18 LEIGH FISHER,PTT-00,, $-   
2904010-3,APTIV RIO BRAVO 1 FV39,ELECTROLUX / REFRIGERADORES,PTT-00,, $-   
2903940-3,GYSA  CDJ,ELECTROLUX / PRODUCTO TERMINADO,PTT-00,, $-   
2904033-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,BASE SOTELO CHIHUAHUA,LOC-02,, $125.00 
2904032-1,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,PTT-00,, $-   
2903987-1,FLETES SOTELO,18 LEIGH FISHER,PTT-00,PUENTE ZARAGOZA, $-   
2904029-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,SMTC PLANTA 1,PTT-00,, $-   
2903795-1,GYSA  CDJ,18 LEIGH FISHER,PTT-00,PUENTE ZARAGOZA, $-   
2903940-1,P Y H TRAILER ENTERPRISES INC,13699 GATEWAY WEST,PTT-00,PUENTE ZARAGOZA, $-   
2903948-4,GYSA JUAREZ 4,GYSA JDC,MDC-01,, $125.00 
2903818-2,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),PTT-00,, $-   
2903716-3,MESILLA VALLEY TRANSPORTATION,13699 GATEWAY WEST,PTT-00,, $-   
2904026-2,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,LOC-02,, $125.00 
2904007-1,GYSA JUAREZ 3,GYSA  CDJ,PTT-00,, $-   
2903984-1,DTR,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),PTT-00,, $-   
2903629-7,KORIMA / KUNA LOOP,GYSA  CDJ,IMP-02,PUENTE ZARAGOZA, $500.00 
2903796-1,GYSA  CDJ,GYSA JUAREZ 1,PTT-00,, $-   
2903937-1,FOREFRONT,GYSA  CDJ,PTT-00,, $-   
2903321-9,FOKKER,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2903901-1,MELTON,ARIES WORLDWIDE LOGISTICS C/O,PTT-00,, $-   
2903905-1,FLETES SOTELO,GYSA JUAREZ 2,LOC-01,, $125.00 
2903893-1,FLETES SOTELO,FOREFRONT,LOC-01,, $125.00 
2903965-1,M Y N PLASTICS,SOUTHWIRE COMPANY,LOC-03,, $125.00 
2903463-5,FLETES SOTELO,EMERALD PASS DR.,TRE-QMS,PUENTE ZARAGOZA, $500.00 
2903370-10,SAFRAN PLANTA 3/OSM/OXYGEN SYSTEMS,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2903843-1,SMTC PLANTA 2,ATLAS AEROSPACE,PTT-00,, $-   
2903932-1,BASE SOTELO CHIHUAHUA,SMTC PLANTA 2,LOC-01,, $125.00 
2903964-1,DELFINGEN US-TEXAS,M Y N PLASTICS,LOC-03,, $375.00 
2903370-7,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),LOC-02,, $125.00 
2904101-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR MONARCA,PTT-01,, $-   
2903737-2,HONEYWELL OPTOELECTRICA,GYSA JUAREZ 5,PTT-00,, $-   
2903370-6,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 5 / PSM / POWER SWITCHES MÉXICO,MDC-01,, $125.00 
2903848-1,FLETES SOTELO,18 LEIGH FISHER,LOC-04,PUENTE AMERICAS, $250.00 
2903828-2,FLEET TRAILER LEASING LLC,ELECTROLUX / REFRIGERADORES,I-VACIO,PUENTE ZARAGOZA, $500.00 
2903844-1,ELECTROLUX / REFRIGERADORES,P Y H TRAILER ENTERPRISES INC,E-VACIO,PUENTE ZARAGOZA, $375.00 
2903810-2,YARDA ARIES,STANCO METAL PRODUCTS,PTT-00,, $-   
2903637-3,ARIES WORLDWIDE LOGISTICS C/O,13699 GATEWAY WEST,PTT-00,, $-   
2903838-1,FLETES SOTELO,GYSA JUAREZ 4,LOC-01,, $250.00 
2903828-1,P Y H TRAILER ENTERPRISES INC,FLEET TRAILER LEASING LLC,PTT-00,, $-   
2903834-1,FORTUNE PLASTIC AND METAL DE CHIHUAHUA S.A DE C.V,GYSA JUAREZ 3,PTT-00,, $-   
2903568-8,SAFRAN CABIN,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2903698-3,FLETES SOTELO,FORTUNE PLASTIC AND METAL DE CHIHUAHUA S.A DE C.V,PTT-00,, $-   
2903801-2,ELECTROLUX / PRODUCTO TERMINADO,FLETES SOTELO,MDC-01,, $125.00 
2903813-2,TRACSO JUAREZ,FLETES SOTELO,LOC-01,, $125.00 
2903810-1,ELECTROLUX / REFRIGERADORES,YARDA ARIES,L-VAC-05,PUENTE STA TERESA, $750.00 
2903568-7,BASE SOTELO CHIHUAHUA,SAFRAN CABIN,PTT-00,, $-   
2903360-7,CHANDLER,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2903812-1,FLETES SOTELO,TRACSO JUAREZ,PTT-00,, $-   
2903806-1,FLETES SOTELO,HONEYWELL OPTOELECTRICA,LOC-01,, $125.00 
2903360-6,IMPULSORA GANE,CHANDLER,PTT-00,, $-   
2903814-1,CHANDLER,XYLEM,PTT-00,, $-   
2903819-1,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),XYLEM,PTT-00,, $-   
2903321-7,KORIMA / KUNA LOOP,FLETES SOTELO,TRI-02,PUENTE ZARAGOZA, $500.00 
2903360-5,BASE SOTELO CHIHUAHUA,CHANDLER,MDC-01,, $125.00 
2903369-6,HOTEL RED ROOF INN CHITO SAMANIEGO DR,KORIMA / KUNA LOOP,PTT-00,, $-   
2903745-4,18 LEIGH FISHER,FLETES SOTELO,PTT-00,PUENTE AMERICAS, $-   
2903745-3,PUENTE  ZARAGOZA,18 LEIGH FISHER,LOC-03,, $250.00 
2903776-2,18 LEIGH FISHER,FLETES SOTELO,TRI-02,, $500.00 
2903675-5,SHELTER AIN SERVICIOS,FLETES SOTELO,LOC-01,, $250.00 
2903779-3,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),ADIENT APASEO EL GRANDE,PTT-00,, $-   
2903370-2,RIO BRAVO INTERNACIONAL,PUENTE  ZARAGOZA,LOC-03,, $250.00 
2903369-3,RIO BRAVO INTERNACIONAL,PUENTE  ZARAGOZA,LOC-03,PUENTE ZARAGOZA, $250.00 
2903629-3,13699 GATEWAY WEST,PUENTE  ZARAGOZA,LOC-03,, $250.00 
2903782-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,LOC-02,, $125.00 
